What is the average central corneal thickness? ||| About 540 micrometers
What is Brown syndrome? (A) Restricted elevation in adduction from superior oblique tendon tightness (B) Rods (C) cyclopentolate (D) zonular ||| A
True or false: Brown syndrome restricts adducted elevation via SO tendon. ||| true
What is Duane syndrome? ||| A congenital abduction or adduction deficit with globe retraction
Quick question: what is Duane syndrome? ||| A congenital abduction or adduction deficit with globe retraction
Exam prep: what is Duane syndrome? ||| A congenital abduction or adduction deficit with globe retraction
What is Duane syndrome? (A) Elevation (B) scintillating (C) A congenital abduction or adduction deficit with globe retraction (D) field expansion ||| C
What is Duane syndrome? (A) A congenital abduction or adduction deficit with globe retraction (B) CN III (C) accommodative (D) thin ||| A
True or false: Duane syndrome retracts the globe on attempted adduction. ||| true
What US acuity defines legal blindness? ||| 20/200 or worse in the better eye, or a field of 20 degrees or less
Quick question: what US acuity defines legal blindness? ||| 20/200 or worse in the better eye, or a field of 20 degrees or less
Exam prep: what US acuity defines legal blindness? ||| 20/200 or worse in the better eye, or a field of 20 degrees or less
What US acuity defines legal blindness? (A) Dorzolamide (B) 20/200 or worse in the better eye, or a field of 20 degrees or less (C) Nuclear (D) before 6 months ||| B
What US acuity defines legal blindness? (A) lid lag (B) goblet (C) 20/200 or worse in the better eye, or a field of 20 degrees or less (D) Blood ||| C
True or false: Legal blindness is 20/200 or worse or 20 degree fields. ||| true
True or false: Legal blindness is abducens or worse or 20 degree fields. ||| false
Fill in the blank: Legal blindness is ____ or worse or 20 degree fields. ||| 20/200
What magnification does a 16 diopter handheld loupe give? ||| 4x, since magnification equals diopters divided by 4
Quick question: what magnification does a 16 diopter handheld loupe give? ||| 4x, since magnification equals diopters divided by 4
Exam prep: what magnification does a 16 diopter handheld loupe give? ||| 4x, since magnification equals diopters divided by 4
What magnification does a 16 diopter handheld loupe give? (A) equally blurred (B) 4x, since magnification equals diopters divided by 4 (C) accommodative (D) Inferior rectus ||| B
What magnification does a 16 diopter handheld loupe give? (A) 1.65 (B) 4x, since magnification equals diopters divided by 4 (C) Sherrington (D) wing ||| B
True or false: A 16 D loupe magnifies 4 times, diopters over four. ||| true
What is the Kestenbaum rule for adding plus? ||| The denominator of best acuity divided by 100 gives the add power
Quick question: what is the Kestenbaum rule for adding plus? ||| The denominator of best acuity divided by 100 gives the add power
Exam prep: what is the Kestenbaum rule for adding plus? ||| The denominator of best acuity divided by 100 gives the add power
What is the Kestenbaum rule for adding plus? (A) alternating (B) transmissibility (C) The denominator of best acuity divided by 100 gives the add power (D) copper ||| C
What is the Kestenbaum rule for adding plus? (A) nicking (B) The denominator of best acuity divided by 100 gives the add power (C) painless (D) Lipid ||| B
True or false: Kestenbaum's rule sets add as the acuity denominator over 100. ||| true
True or false: Kestenbaum's rule sets add as the acuity 10 to 21 over 100. ||| false
Fill in the blank: Kestenbaum's rule sets add as the acuity ____ over 100. ||| denominator
Which low vision aid helps mid-peripheral field loss like RP? ||| Prisms or reverse telescopes for field expansion
Quick question: which low vision aid helps mid-peripheral field loss like RP? ||| Prisms or reverse telescopes for field expansion
Exam prep: which low vision aid helps mid-peripheral field loss like RP? ||| Prisms or reverse telescopes for field expansion
Which low vision aid helps mid-peripheral field loss like RP? (A) toxoplasmosis (B) flare (C) Panretinal (D) Prisms or reverse telescopes for field expansion ||| D
Which low vision aid helps mid-peripheral field loss like RP? (A) Entropion (B) Prisms or reverse telescopes for field expansion (C) opacities (D) denominator ||| B
True or false: Field expanders compensate tubular RP fields. ||| true
What lighting strategy helps most low vision readers? ||| Bright, angled task lighting without glare
Quick question: what lighting strategy helps most low vision readers? ||| Bright, angled task lighting without glare
Exam prep: what lighting strategy helps most low vision readers? ||| Bright, angled task lighting without glare
What lighting strategy helps most low vision readers? (A) Bright, angled task lighting without glare (B) Teller (C) curtain (D) Hering ||| A
What lighting strategy helps most low vision readers? (A) neuroimaging (B) Rheumatoid (C) Painful (D) Bright, angled task lighting without glare ||| D
True or false: Angled glare-free task light aids low vision reading. ||| true
Which contrast trick helps low vision kitchens? ||| High contrast markings on knobs and edges
Quick question: which contrast trick helps low vision kitchens? ||| High contrast markings on knobs and edges
Exam prep: which contrast trick helps low vision kitchens? ||| High contrast markings on knobs and edges
Which contrast trick helps low vision kitchens? (A) Conjunctivochalasis (B) task lighting (C) perimetry (D) High contrast markings on knobs and edges ||| D
Which contrast trick helps low vision kitchens? (A) Monocular (B) High contrast markings on knobs and edges (C) pain on eye movement (D) Lisch ||| B
True or false: High contrast marking aids daily tasks. ||| true
True or false: Arteriolar marking aids daily tasks. ||| false
Fill in the blank: ____ marking aids daily tasks. ||| High contrast
What does a telescopic loupe trade for magnification? ||| Reduced field of view and working distance
Quick question: what does a telescopic loupe trade for magnification? ||| Reduced field of view and working distance
Exam prep: what does a telescopic loupe trade for magnification? ||| Reduced field of view and working distance
What does a telescopic loupe trade for magnification? (A) Reduced field of view and working distance (B) abscess (C) 0.3 (D) dyslipidemia ||| A
What does a telescopic loupe trade for magnification? (A) Reduced field of view and working distance (B) Lissamine (C) 90 to 240 (D) Lattice ||| A
True or false: Telescopes magnify at the cost of field. ||| true
What does Goldmann applanation tonometry measure? ||| The force to flatten a fixed 3.06 millimeter corneal area
Quick question: what does Goldmann applanation tonometry measure? ||| The force to flatten a fixed 3.06 millimeter corneal area
Exam prep: what does Goldmann applanation tonometry measure? ||| The force to flatten a fixed 3.06 millimeter corneal area
What does Goldmann applanation tonometry measure? (A) giant papillary (B) Lipid (C) Cortical (D) The force to flatten a fixed 3.06 millimeter corneal area ||| D
What does Goldmann applanation tonometry measure? (A) The force to flatten a fixed 3.06 millimeter corneal area (B) 0.0 (C) permeability (D) back central ||| A
True or false: Goldmann flattens a 3.06 millimeter zone to estimate IOP. ||| true
True or false: Goldmann flattens a Thin millimeter zone to estimate IOP. ||| false
Fill in the blank: Goldmann flattens a ____ millimeter zone to estimate IOP. ||| 3.06
Why is 3.06 millimeters the Goldmann diameter? ||| Corneal rigidity and tear film capillary forces cancel out
Quick question: why is 3.06 millimeters the Goldmann diameter? ||| Corneal rigidity and tear film capillary forces cancel out
Exam prep: why is 3.06 millimeters the Goldmann diameter? ||| Corneal rigidity and tear film capillary forces cancel out
Why is 3.06 millimeters the Goldmann diameter? (A) Corneal rigidity and tear film capillary forces cancel out (B) canal of Schlemm (C) 2 and 8 (D) Munson ||| A
Why is 3.06 millimeters the Goldmann diameter? (A) Corneal rigidity and tear film capillary forces cancel out (B) High contrast (C) Phenylephrine (D) half ||| A
True or false: At 3.06 millimeters, rigidity and tear forces balance. ||| true
True or false: At 3.06 millimeters, Retinoscopy and tear forces balance. ||| false
Fill in the blank: At 3.06 millimeters, ____ and tear forces balance. ||| rigidity
What can falsely lower Goldmann readings? ||| Thin central corneas
Quick question: what can falsely lower Goldmann readings? ||| Thin central corneas
Exam prep: what can falsely lower Goldmann readings? ||| Thin central corneas
What can falsely lower Goldmann readings? (A) nasolacrimal duct (B) 3,500 (C) Epicanthal (D) Thin central corneas ||| D
What can falsely lower Goldmann readings? (A) Thin central corneas (B) pain on eye movement (C) 20/20 (D) 0.0 ||| A
True or false: Thin corneas make Goldmann underestimate IOP. ||| true
True or false: Intorsion corneas make Goldmann underestimate IOP. ||| false
Fill in the blank: ____ corneas make Goldmann underestimate IOP. ||| Thin
What can falsely raise Goldmann readings? ||| Thick corneas or a tight collar and breath holding
Quick question: what can falsely raise Goldmann readings? ||| Thick corneas or a tight collar and breath holding
Exam prep: what can falsely raise Goldmann readings? ||| Thick corneas or a tight collar and breath holding
What can falsely raise Goldmann readings? (A) cherry red (B) depth of focus (C) Thick corneas or a tight collar and breath holding (D) Posterior subcapsular ||| C
What can falsely raise Goldmann readings? (A) Beta blockers (B) Thick corneas or a tight collar and breath holding (C) 6 million (D) cold compresses ||| B
True or false: Thick corneas and Valsalva inflate Goldmann IOP. ||| true
True or false: superimpose corneas and Valsalva inflate Goldmann IOP. ||| false
Fill in the blank: ____ corneas and Valsalva inflate Goldmann IOP. ||| Thick
What does van Herick grading estimate? ||| Angle depth from peripheral anterior chamber to corneal thickness ratio
Quick question: what does van Herick grading estimate? ||| Angle depth from peripheral anterior chamber to corneal thickness ratio
